original	new
Gaymuthafuckinwhore	Gaym*thaf*ckinwhore
gaymuthafuckinwhore	gaym*thaf*ckinwhore
Goddamnmuthafucker	Goddamnm*thaf*cker
goddamnmuthafucker	goddamnm*thaf*cker
mattressprincess	mattressprincess
Mattressprincess	Mattressprincess
spaghettibender	spaghettibender
spaghettinigger	spaghettinigger
Spaghettibender	Spaghettibender
devilworshipper	devilworshipper
niggardliness's	niggardliness's
Spaghettinigger	Spaghettinigger
Devilworshipper	Devilworshipper
Niggardliness's	Niggardliness's
Motherfuckings	Motherf*ckings
Poorwhitetrash	Poorwhitetrash
spankthemonkey	spankthemonkey
smackthemonkey	smackthemonkey
purinapricness	p*rinapricness
Motherlovebone	Motherlovebone
Luckycammeltoe	L*ckycammeltoe
Purinapricness	P*rinapricness
motherfuckings	motherf*ckings
motherlovebone	motherlovebone
Spankthemonkey	Spankthemonkey
poorwhitetrash	poorwhitetrash
Smackthemonkey	Smackthemonkey
luckycammeltoe	l*ckycammeltoe
Alligatorbait	Alligatorbait
jacktheripper	jacktheripper
Tongethruster	Tongethr*ster
Carpetmuncher	Carpetm*ncher
shitforbrains	shitforbrains
fingerfucking	fingerf*cking
Motherfucking	Motherf*cking
pooperscooper	pooperscooper
Masterblaster	Masterblaster
dickforbrains	dickforbrains
Jacktheripper	Jacktheripper
Fingerfuckers	Fingerf*ckers
fingerfuckers	fingerf*ckers
Pooperscooper	Pooperscooper
Fingerfucking	Fingerf*cking
niggardliness	niggardliness
carpetmuncher	carpetm*ncher
virginbreaker	virginbreaker
Shitforbrains	Shitforbrains
pearlnecklace	pearlnecklace
Virginbreaker	Virginbreaker
Assassination	Assassination
shitoutofluck	shito*tofl*ck
Niggardliness	Niggardliness
assassination	assassination
tongethruster	tongethr*ster
Mothafuckings	Mothaf*ckings
mothafuckings	mothaf*ckings
Shitoutofluck	Shito*tofl*ck
masterblaster	masterblaster
alligatorbait	alligatorbait
Dickforbrains	Dickforbrains
motherfucking	motherf*cking
Pearlnecklace	Pearlnecklace
Pussypounder	P*ssypo*nder
Heterosexual	Heterosex*al
transvestite	transvestite
freakyfucker	freakyf*cker
Conservative	Conservative
masturbating	mast*rbating
Fingerfucked	Fingerf*cked
motherfucker	motherf*cker
Transvestite	Transvestite
Pornprincess	Pornprincess
pussypounder	p*ssypo*nder
pornprincess	pornprincess
Cherrypopper	Cherrypopper
motherfucked	motherf*cked
Mothafucking	Mothaf*cking
grostulation	grost*lation
Goldenshower	Goldenshower
fingerfucker	fingerf*cker
Fuckingbitch	F*ckingbitch
Titbitnipply	Titbitnipply
crotchmonkey	crotchmonkey
tunneloflove	t*nneloflove
Timbernigger	Timbernigger
Spermhearder	Spermhearder
Motherfuckin	Motherf*ckin
crotchjockey	crotchjockey
Trailertrash	Trailertrash
Motherfucker	Motherf*cker
Motherfucked	Motherf*cked
williewanker	williewanker
Fingerfucker	Fingerf*cker
fingerfucked	fingerf*cked
trailertrash	trailertrash
Tunneloflove	T*nneloflove
tonguethrust	tong*ethr*st
motherfuckin	motherf*ckin
Masturbating	Mast*rbating
Crotchmonkey	Crotchmonkey
butt-fuckers	b*tt-f*ckers
mothafucking	mothaf*cking
goldenshower	goldenshower
stupidfucker	st*pidf*cker
Freakyfucker	Freakyf*cker
Stupidfucker	St*pidf*cker
Lezbefriends	Lezbefriends
athletesfoot	athletesfoot
Williewanker	Williewanker
timbernigger	timbernigger
spermhearder	spermhearder
fuckingbitch	f*ckingbitch
Athletesfoot	Athletesfoot
nofuckingway	nof*ckingway
cherrypopper	cherrypopper
Crotchjockey	Crotchjockey
beatyourmeat	beatyo*rmeat
titbitnipply	titbitnipply
heterosexual	heterosex*al
Butt-fuckers	B*tt-f*ckers
lezbefriends	lezbefriends
Beatyourmeat	Beatyo*rmeat
Nofuckingway	Nof*ckingway
Tonguethrust	Tong*ethr*st
Grostulation	Grost*lation
conservative	conservative
crack-whore	crack-whore
sonofabitch	sonofabitch
Mothafuckaz	Mothaf*ckaz
Shithappens	Shithappens
doggiestyle	doggiestyle
Junglebunny	J*ngleb*nny
cuntlicking	c*ntlicking
Intercourse	Interco*rse
Twobitwhore	Twobitwhore
Fudgepacker	F*dgepacker
tonguetramp	tong*etramp
pussyfucker	p*ssyf*cker
homobangers	homobangers
mothafuckin	mothaf*ckin
Butt-fucker	B*tt-f*cker
Doggiestyle	Doggiestyle
mooncricket	mooncricket
Ejaculating	Ejac*lating
Fistfucking	Fistf*cking
Backdoorman	Backdoorman
Penetration	Penetration
Pussyfucker	P*ssyf*cker
executioner	exec*tioner
Crack-whore	Crack-whore
whiskeydick	whiskeydick
Whorefucker	Whoref*cker
junglebunny	j*ngleb*nny
Fuckinright	F*ckinright
spreadeagle	spreadeagle
Cunillingus	C*nilling*s
Holestuffer	Holest*ffer
Buttfuckers	B*ttf*ckers
ejaculation	ejac*lation
