	text	labels	predicted	cross_predicted
14	@USER Nigga ware da hits at	1	1	0
61	#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL	1	1	0
72	@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.	1	1	0
87	$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL	1	1	0
135	#BoycottNFL .@USER You are dead to me. @USER @USER URL	1	1	0
142	@USER  Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!	1	1	0
215	#Khaleesi kinda watching #HIAC ! Wtf does she think she is, a person? Pffft pathetic URL	1	1	0
229	Antonia Evans was either sex trafficked or cremated.	1	1	0
243	#Trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.	1	1	0
249	#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe	1	1	0
282	#CrowderConfronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #dontbeafraid #confrontwithtruth URL	1	1	0
308	@USER @USER @USER Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.	1	1	0
314	#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You should #broadcast your #Armory and #killSkills #RightFuckingNOW URL	1	1	0
326	"#FamiliarWife JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ URL"	1	1	0
331	#ThingsDarthVaderWouldNeverSay yup , white mask privilege at it's finest. Always trying to keep a black mask down #BlackLivesMatter #Qanon #Antifa #AlexJones #Infowars #StarWars #maytheforcebewithyou #thirdshiftzombies #Podcast #radio #WhiteSupremacy URL	1	1	0
352	#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!	1	1	0
357	4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?	1	1	0
377	#Dems are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. URL	1	1	0
389	"50 Cent Calls Out Joe Budden's Bullshit"" On Instagram URL URL"	1	1	0
403	2018 not surprised it starts from the top!!!  Karma a bitch watch!!!! URL	1	1	0
420	@USER @USER As I have said the media and money Soros with dip shit Waters is creating a civil war.	1	1	0
470	#Emmys  Well, most of those ex-crackheads are liberals and Democrats; so ...	1	1	0
475	@USER #Diversity only works when those joining the new group want to be a part of the team.   #Islam hates every non-Muslim   #Fail  #Unicorns	1	1	0
503	#AmazonPets Etta can be tricky to photograph because of her colouring, but she is BEAUTIFUL and she knows it. She is in charge, has first dibs on treats, and will shout for our attention whenever she comes in the house. She kills wild rabbits but hangs out in the hutch with ours. URL	1	1	0
505	#SugarDaddy Retweet if you are under 30 and would like share memes with each other and we can talk about dumb shit. Cuz baby I’m broke as shit but this love rich URL	1	1	0
507	#GeoffreyOwens niggas don’t really understand...levels to career pursuits	1	1	0
531	@USER 'cause everyone knows a real leader falls into a van like a sack of potatoes.....	1	1	0
533	"#BoycottNike campaign must continue and grow  Paying overseas staff $0.20 an hour is not okay because your staff is over there"".   You are exploiting poor women/men in the world.  This is more than Americans can stand. URL"	1	1	0
549	"#NEWS Jeff Sessions: If you want more death, 'listen to the ACLU, Antifa, Black Lives Matter'"" URL #CNBC"""	1	1	0
567	"#Ford's attorney says she's receiving death threats and has had to move her family to safety"". Where's the proof that #Democrats #Antifa are not doing this to promote this circus?"""	1	1	0
572	Another season for Tom Brady to give it to these niggas	1	1	0
629	88% of these niggas have podcasts and YouTube channels dedicated to this and shit ain’t getting solved so URL	1	1	0
632	Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said 😭😭	1	1	0
657	#Bakersfield is why we need gun control! Sorry for the victims other than the gunman himself I hope he rots in hell!	1	1	0
663	#HonourSacrificeBoycottMatch I hope d human rights rats r happy!hope Sidhu is happy!  I hope d liberals r happy! Let’s play cricket wth thm let’s thank thm 4 wht they r doing 2our soldiers Let’s celebrate our impotence funny a piddly little nation like pak is taking us 4 a ride	1	1	0
690	@USER #MoreBS = MORE #BARRYSOETOROBULLSHIT	1	1	0
711	@USER To demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?	1	1	0
732	"#LiberalHypocrisy #TacoBell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL"	1	1	0
737	#JusticeForSoniasFather  Mr Usman buzdar sb! please respond to Sonia Iqbal daughter of PTI counsellor from okara whose father was killed during elections by nawaz league killers. She is saying she will commit suicide in front of media. Where is justice?	1	1	0
744	#OITNB. She is the worst public defender. Trailing her pen uner the words.	1	1	0
755	#GreatestThingsAboutThe90s liberals weren’t unhinged	1	1	0
771	#Conservatives are #dumberthandogshit is the central point of my tweet	1	1	0
782	#crazyredhead in very #angry at the #orange #cheeto  Who claims to be our #president .  She will never accept it.  Denying all the lives lost in Puerto Rico? He is a #monster #… URL	1	1	0
818	#LiberalHypocrisy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellison domestic violence accuser says Democratic party doesn't believe her story  URL	1	1	0
821	"#TRUMP:  I'd be a real good witness! #JOHNDowd:  ""You are #not a good witness.  Mr. President, I'm afraid I just can't help you!""   The day following those remarks, Attorney Dowd quit!  EVERYBODY... URL"	1	1	0
855	#DespicableDems lie again about rifles. Dem Distorted the Law to Push Gun-Control at Kavanaugh Confirmation URL via @USER	1	1	0
857	3 people just unfollowed me for talking about merlin sorry y'all im still up covinsky's ass im just waiting for a psisly sequel announcement ive run out of witty and funny tweets about tatbilb i am drained	1	1	0
