	text	labels	predicted	cross_predicted
31	Halala was never part of islam lekin halala ke naam par mulle khoob maje le rabe tumahri maa behan beti ke aur tum bhi maje se dekh rahe unki izzat lutate huye. Aise to baat baat par bomd fod dete ho lekin ek bhi muslim londa inn mullon ke against kuch nahi bolta. Dhikkar hai	1	0	0
74	No Muslim MP of both houses favoured Teen Talaq bill. Teen Talaq stopped scope of call to these MP's and all opposing MP from Mulla Maulvi Imam to perform HALALA. Now they do additional sex with ladies of his own house's. @ghulamnazad @OmarAbdullah @salman7khurshid @ahmedpatel	1	0	0
86	This was expected of you because we know you and your party believes in HALALA !!	1	0	0
145	Maybe whilst there, you could have taken questions from journalists, rather than hiding & releasing propoganda bulletins.    If you're a serious PM, you would allow some scrutiny without No.10 spin jockeys pumping out silly soundbites. Until then the nickname stays: #BackDoorBoris	1	0	0
164	'कुछ' नही , बोहोत ज्यादा लोचा है..! कितना शर्मसाक है हिंदुस्थान में की भरी Debate में कोई 'जय श्री राम' एक पवित्र नारे को 'आतंकी' बोल देते है ,पर कुछ लोगो को तो इसमे कुछ आपत्ती नजर नही आती, दोगलापन ।  #Shame On Mamata Banerji  #Tanvi Das   #Aparna Sen  #Intolernce Gang  जय श्री राम 	1	0	0
192	Muslims mate with any thing, it’s just sister brother sex. Pleasure is pleasure. 	1	0	0
199	Shame Shame , Mamata banerji.  Aparna Sen & its 48 puppets, where are you ?	1	0	0
214	50 million girls are killed in womb by your way of life. More than 50% way of life don’t have potty training. Devdasi pratha is still sacred in your way of life. Halala has no place in islam but Your way of life is looking at it with so much hope and lust is amazing 	1	0	0
240	Bc pura ek sentence angreji mai. Kya bat.	1	0	0
273	I don't support @DerbyChrisW, nor am I a member of the @UKLabour party. But I am so disgusted by Corbyn's @jeremycorbyn position on #Brexit that I am cutting up my membership card. 	1	0	0
282	Yes do share issues for awarness and education  In name of freedom same sex is legal in most western countries  But any things are many time better then muslim world	1	0	0
286	This is not threats this is fun..!!    Bengal main rahana hai  To Jai Mamata Bolna hai     We're living in TMC Talibaan Ruling state ,    Thanks Didi	1	0	0
365	Has Mamata Banerjee wished the doctor fraternity today? #DoctorsDay is inspired by Dr Bidhan Chandra Roy, Bharat Ratna and second CM of Bengal. Ironically, West Bengal now has a CM who thinks it is ok for doctors to die in the line of duty because it suits her communal politics!	1	0	0
373	Also dont boycott halala. Ask @khanumarfa  how much fun it is.	1	0	0
423	Is this really so difficult for you to understand, or are you being disingenuous?	1	0	0
436	You’re going to trigger the independence of Scotland.    You’re going to cause a rekindling of the Northern Ireland troubles.     Ultimately Northern Ireland will also split from England.     You better think about a new national flag.	1	0	0
451	India at it’s worst phase.... aaj hindu muslim horaha hai kal ST SC HOGA Ffir general obc chalega .... indeed we steeped into a new india.   Whatever you guys did was 100 n 1% correct @ZomatoIN . #Zomato	1	0	0
459	Don't cry over beached up baby. His dad's sure to have fathered two dozen more from four wives. Don't fall for victim card #RefugeesGoBack	1	0	0
480	Islam is really great    For COOKED FLASH they need           'Halal'    For FRESH FLASH           'HALALA'    	1	0	0
492	One more thing in 2005 the Same Mamata Banerjee was opposing These infiltrators, now the 180° Mamata Banerjee appeasing them as Vote Bank  Same thing will happen with BJP too..!!    Amit Shah ki Police Mandir tutane se bacha nahi pai  Mandir banayegi 	1	0	0
503	Good. BTW the majority of Northern Irish voted to Remain in the EU. Why should they follow an English prime minister who has no democratic legitimacy to continue pursuing the FAILED #Brexit project?  #StayTogether in EU was clear message from last election results across UK:	1	0	0
