	text	labels	predicted	cross_predicted
19	Turn up in Westminster once, and collapse the Government. Shouting from the sidelines is totally unconstructive, when there is actually something you could do.	0	1	1
44	STILL. AND ALWAYS. #fucktheredhats #fuckracism #fucktrump https://www.facebook.com/hyperboymedia/posts/10162227454980654 …	0	1	1
48	If a Hindu mob were to lynch Muslim doctors, every political leader, Modi to Mamata to Rahul to Nitish to Kejri would announce a slew of compensation, visit the victims, and do elaborate Man ki Baats. Mujhe Maro, Mera Doctors ko maat maro, maat maro mere bhaiyon! Hindus disowned	0	1	1
63	#Government #Politics #Political #Democrats #Republicans #Elections #Voting #TeaParty #LeftWing #RightWing #NotMyPresident #President #TwoFacedRepublicans #Hypocrisy #Hypocrite #Trump #DonaldTrump #FuckTrump… https://www.instagram.com/p/B0lTuWggWjV/?igshid=1v4qy4e969s4x …	0	1	1
80	'My prime focus this morning is to speak as loudly and confidently as possible whilst actually spouting the most incoherent stream of shit conceivable.'	0	1	1
87	How patronising and typical of the #Brexit little England mentality. Did you realise how stupid you make the UK look when you come out with this	0	1	1
91	@EmilyThornberry can’t wait to see your salty tears flow when we leave the #EU.  You are a disgusting, vile, nasty and un-democratic just like your party.    #brexit #outmeansout #brexitmeansbrexit #brexitparty_uk #Conservative #labour #LibDems #snp	0	1	1
106	Sad watching the UK making a total arse of itself.	0	1	1
113	British Muslim cleric tells boys they can have sex slaves Da1  https://www.youtube.com/watch?v=EJqSpmPD4GU …	0	1	1
143	Why are you trying to destroy it with a disastrous no deal Brexit with no mandate.	0	1	1
144	Do you even know that in quran have sex with slave and war captive are halal and exception to adultery?    MANY MUSLIM DONT KNOW THIS RULE AND I WILL LET YOU KNOW THIS RULE    DO YOU THINK IT IS MORAL?	0	1	1
161	#America #hypocrites #FuckTrump #FuckICE #FuckYourFlag #FeedTheChristiansToTheLions #TrumpConcentrationCamps #TrumpHasKidsInCages #trumpIsAKiller #TrumpHotels #trumpIsAKiller #LostTrumpHistory	0	1	1
174	Here’s why the Republican Party is in danger of being aged out of existence #Resist #ResistTrump #FuckTrump 	0	1	1
