	text	labels	predicted	cross_predicted
8	#Repost free.wicked  • • • • • •  #freewicked #freethekids #terrorist #Americanterrorist #fucktrump #donaldtrump #fuckdonaldtrump #notothewall #nowall #ak47 #shooting #justiceforthekids #nomoregunviolence #gunviolence… https://www.instagram.com/p/B0lX5FzBnU7/?igshid=1joy9r96lwwg7 …	0	0	1
24	How the internet spawned 21st-century fascism #Resist #ResistTrump #FuckTrump 	0	0	1
38	The lack of flesh from the face is either metaphorically indicative of disgrace & wretchedness, or it would actually happen as a symptom of sinning and the punishment thereof.  Aversion against begging has been mentioned because it brings shame both in this world & the Hereafter.	0	0	1
46	Trump’s story about almost dying in a helicopter crash is a lie: Former Trump Org exec #Resist #ResistTrump #FuckTrump 	0	0	1
47	As a Marine veteran I wasn’t a fan of the president I served at the time, but I stuck to my oath in served the Constitution. Left or right does not matter while serving. As a left veteran now I find it disturbing that so many veterans what to #MakeAmericaWhiteAgain. #fucktrump	0	0	1
56	Dear @Zomato, what's wrong in cancelling food being delivered by a Muzlim delivery boy?    Did we forget Srilanka where they mixed sterilization pills in the food?    Did we forget Mumbai, where 10 Muzlim boys tried to poison Prashad consumed by 40,000 devotees?    TIME TO WAKE UP GUYS	0	0	1
60	The simple math that should keep Republicans up at night #Resist #ResistTrump #FuckTrump 	0	0	1
67	icc test championship is just a stupid idea pakistan and newziland is playing just 13 series while india england and aistralia are playing 17 or 18 teast matches	0	0	1
71	I am not saying your idea is not logical, but from experience, Arlene is not logical, nor is the DUP, if they think you are diluting   the union, it is curtains.	0	0	1
78	Correction- they are NOT pulling over drivers. It is for pedestrians & cyclists. If they observe you obeying the law, they may approach you to start a conversation & hand out the certificate and it is only being done in Tempe. Still a stupid  idea..	0	0	1
84	#Spotify has 48 million more paying subscribers than #Apple Music  #FuckTrump 	0	0	1
90	Hmmm.   I hope you aren’t one of the <£50k per annum lot.  #fucked	0	0	1
120	It looks like a witchcraft version of the Ku Klux Klan. I find them deeply sinister.	0	0	1
122	Trump Is Freaking Out And Worried Fox News Is Breaking Up With Him #Resist #ResistTrump #FuckTrump 	0	0	1
125	lol @ your name 'somepeoplechantedsomething'    some people chanted something, then it was condemned as racist, good.    some people did something, then the rights of american muslims in general were attacked, bad	0	0	1
131	These days, people from other parties join BJP and suddenly attain eminent status.. What a sad state of affairs..	0	0	1
140	Ngl people pitting refugees against homeless people in Ireland is a pretty sick and twisted world view. They’re both emergencies ya daft yokes, stop making people’s lives into a competition #RefugeesAreWelcome #HomelessCrisis	0	0	1
155	So @akashbanerjee has a video out in which he lists 10 points to understand the Doctors Strike (And he blames Parliament for not considering them, though health is a state subject).    Not even 1 of the 10 points blames Mamata.     But he does blame Ram Mandir.	0	0	1
162	AC room me baithke keise pata chalta hei. Did he write to Mamata Banerjee for protesting against  lynching of doctors in west Bengal ?	0	0	1
170	The monkey would be much more interesting in my opinion! #fucktrump #RacistTrump #RapistInChief @POTUS	0	0	1
180	War - #GOPWantsWAR-  Edwin Starr - #MusicIsWhatFeelingsSoundLike  https://youtu.be/_d8C4AIFgUg  via @YouTube #ThingsThatGiveMeAnxiety #FUCKTrump #FUCKGOP	0	0	1
181	Real Scenario: Muslims fakes Jai Shree Ram controversy  AP Sen: But it was their Right to shout. InTolerance is increased . modi must resign  Real Scenario : Muslim Mob Attackes Doctor. TMC goons attack Professor asking them to shout Mamata Beham Zindabad   AP Sen : Consumed Fevicol	0	0	1
195	BBC News - Waltham Forest Pride: Police probe 'homophobic abuse' video https://www.bbc.com/news/uk-england-london-49147605 … She is a disgrace to Islam	0	0	1
203	Let this sink in.. please repost #Farrakhan #realwords #realtalk #yougoback #fucktrump #notrump2020 #lockhimup https://www.instagram.com/p/B0lRLvPH3cic2KRIt5fjlO_kYICWwVqA912fes0/?igshid=15n0opfm7jcar …	0	0	1
