	text	labels	predicted	cross_predicted
39	So Many Hindus Arrested.... HINDUS ARE...WHAT THE FUCK MAN..I m angry now #SaveBengal Sali mamata	1	0	1
43	Watch “Dr. Qanta Ahmed: Rep. Omar is a disgrace to Islam” on YouTube http://youtube.com/watch?v=4o-RL7yqV6Y&feature=youtu.be …	1	0	1
172	Sometimes they try but end up looking even more stupid.  It's all about finances. You cannot say no to more than 60% of the revenue. 	1	0	1
176	What a strong claim mam and without giving any reference of Quran or Hadith. With due respect mam the way u hv objectified a woman is a disgrace to rights given to a woman in Islam.   U really need to reconstruct ur empire of knowledge.  Best wishes...!!!  @psiatif @KaiserRashid19	1	0	1
225	I'm also part indian and I for one would rather just end islam so nobody needs to be a slave. I'm never happy when evil is brought upon mankind. Unlike you. Which is why I bait and make fun of you and people like you. You're a disgrace to humanity if you're happy for enslavement	1	0	1
239	Agree with your latter points completely, but I don't think he likes negative attention, too much of an egotist.	1	0	1
299	Doctor lynched to death by 200 muslims recorded on camera, Mamata Banerji clinging to C.M.chair shamelessly.	1	0	1
300	dear dr aishwarya   i would like to rectify you religion is a great philoshopy which teaches a person way to live your life...... muslim is not a religion its just something scribled in a book by some egoistic sex addict maniac in a book so called as quran	1	0	1
351	@mamata_for_PM ACTUAL HITLAR IS MAMTA BANERJI IN WEST BENGAL...TOTALLY ANTI HINDU AND PRO MUSLIM...MULLI	1	0	1
368	The Interim Committee should show those insubordinate, overpaid, underperforming and inefficient yahoos who is boss. Their employment is governed by the laws of Zimbabwe not by the ICC. Now that the only people who were a concern have become too stupid to help. Burn and rebuild	1	0	1
435	So there’s another white racist President? How many Republicans will proudly refer to themselves as “Reagan Republicans” now?Reagan's Racist call with Nixon Found #IStandWithIlhan #IStandWithTheSquad #FuckTrump 	1	0	1
438	We’ve also achieved the highest debt in history, become a laughing stock among our allies, and discovered more corrupt members of the trump administration and associates than any other time in history. #FuckTrump #FuckPence #FuckTheGOP and #FuckMoscowMitch	1	0	1
452	Appeasement charge: Muslims urge Mamata to punish those guilty of attacking doctors, accosting model    	1	0	1
460	Dan uwarki  Use Google translate kinji  Islam is the best  Whoever follow our islam will escape  If u reject or abuse us will end up at place of disgrace humiliation and misery 	1	0	1
461	@IlhanMN   The first 2 would cripple the economy.  The 3rd one is a joke concocted by an idiot bartender.  There's no 'Muslim Ban'. If there was, your lying ass never wouldn't be here.  If you do #5, I want reparations because I paid mine.  #6 - #Build the Wall  #WednesdayWisdom #MAGA	1	0	1
476	Got to give it to fox though, they know thier target demographic:  Stupid!  #Hateriot #Fucktrump #CheetoPedoPrez	1	0	1
485	Warren and Sanders are pretty cool, true. But have you met these cats???? #RallyTogether #MedicareForAll #FuckTheYankees #FuckTrump 	1	0	1
493	BECAUSE THE USA GOT INVOLVED IN EL SALVADOR NOT 'MUSLIM COUNTRIES'  	1	0	1
601	This #junk49 with backing of Mamata wanted to take away the good positive mood in country after chandrayan and show govt in bad light...their anti HINDU attitude is also shown by visit of this lady to jihadis after attack on doctors..Mamata psychophant	1	0	1
710	I was going to comment but then I see that you're a bot ...soooooo never mind.    #fucktRump   #veteransagainsttRump	1	0	1
715	It’s strange & shocking to see a Woman has such pathetic  views ... What A Upbringing... Amazing .     So it indicate you fully support Halala in Islam .	1	0	1
724	Let's not allow Trump's bulshit about Baltimore divert us from the fact that he and #Epstein are good buddies & partied together with YOUNG GIRLS, many of which were PROBABLY UNDERAGE. Nor should we forget that he directly or indirectly colluded with the Russians. #FuckTrump	1	0	1
745	Americans Of All Ages And Races Agree: Trump Is A Racist #Resist #ResistTrump #FuckTrump 	1	0	1
750	'oppressed people who don't realize they're oppressed are stupid and weak sheeple' is an odd take to call feminist or intersectional.	1	0	1
784	It actually was in the news. Christians from different parts of Ireland have been calling the UK to find out if it's one of our mosques. They're saying the whole episode is a disgrace.	1	0	1
809	My usually unshakeable belief that we will be able to turn this around is starting to crack. I am so disappointed in the U.S. populace as a whole. In a country where ignorance reigns supreme there isn't much hope. And yes, #FuckTrump #FuckTheGOP and #FuckTheNRA	1	0	1
828	@ZomatoIN #BycottZomato     HALAL AND HALALA      Are two most cruel possible things possible to an animal or a woman.     Stop these nonsensical practices in India!	1	0	1
850	She is not forgiven and never pardoned. She activated a clone army of Boomer-aged white women inclined to do the very same sh-t to get ahead. So many accounts with #BLM and #FuckTrump plastered all over them were canceled....	1	0	1
872	Hello @timesofindia  Have the GUTS to name the Accused as TAUSIF IMRAN KHAN  In the Title of the Article ?    Vadodara: Class X girl repeatedly raped after promise of marriage | Vadodara News - Times of India https://timesofindia.indiatimes.com/city/vadodara/class-x-girl-repeatedly-raped-after-promise-of-marriage/articleshow/69909210.cms …    #डरा_हुआ_मुसलमान ?	1	0	1
883	A useless and antisocial person whose job is to spread hatred against Muslims cant be expected to say anything logical. Full time this antisocial person is engaged in opposing whatever is related to Muslims. That is her real reason for this nonstop रंडी रोना.	1	0	1
908	Ramalingam was murdered brutally by Muzlim men, day after his video of confronting Izlamic preachers went viral. His hands were chopped off and he was tortured before he was murdered. How many prime time debates did you see on this lynching? How many people in power did it pain?	1	0	1
938	Tension in:    -Mirzapur: Radicals beat up Man going to Temple    -Meerut: Boys fire toy guns outside Temple to spread fear.    -Madaidih: Mob attacked People returning from funeral.    -Dilari: Radicals killed Man for accusing them of daughter’s kidnapping.    Kuch mat bolo Secularism hai	1	0	1
