	text	labels	predicted	cross_predicted
0	#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL	1	0	1
6	#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑	0	1	0
7	@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?	1	0	1
11	𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +	0	1	0
12	#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!	0	1	0
21	#Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org. that supports BLM Antifa etc. Unbeievable!	0	1	0
25	#HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!	0	1	0
30	#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL	1	0	1
45	#Chequers is a violation of democracy !!  #StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL	0	1	0
46	#Sessions Tells #Chicago: “If You Want More #Shootings, More #Death, Listen To #ACLU, #Antifa, #BlackLivesMatter” URL	0	1	0
68	And yet everyone seems to lack it URL	0	1	0
78	#CNN ruthlessly continues #Fakenews onslot. Where's the honest analysis? Right here!  URL #tcot #CNN #NRA #massshooting #CNNISFAKENEWS #Conservatives #FakeNewsMedia #FakeNews #PBA #FakeNewsCNN	0	1	0
108	Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL	1	0	1
117	@USER #Zuckerberg lies.	0	1	0
130	#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL	1	0	1
136	@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL	1	0	1
143	@USER #Holder needed to be impeached	1	0	1
155	#SerenaWilliams is NOT the first mother to be on the women's tour.  She is embarrassingly entitled and a bully.  Yes, that is Kim Clijsters winning a Major a year after having a baby.   @USER @USER @USER URL	0	1	0
187	(NAB)JESUS WON'T REJECT U-COME TO HIM -HOMEWARD BOUND TOWARDS HEAVENS KINGDOM HE IS OPEN DOOR TO ONLY-	0	1	0
189	#Coupdetat of #Spain in #Catalona. #Spain is a  #fakedemocracy @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cddr #shameonSpain #WakeupEurope @USER @USER URL	1	0	1
203	#Benghazi  #Haiti  #UraniumOne  #SethRich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #DrainTheSwamp  #HillaryForPrison  #VoteRed #MAGA URL	1	0	1
210	#BiggBossTamil #BiggBossTamil2 #BiggBoss2Tamil intha #Aishwarya va kuda manichirlam ana intha #Yashika 😡😡 The biggest reason for every fight in BB house. Yet our foolish people support her just because she is doing Tasks. URL	0	1	0
227	"#Cancer  Hate crime isn't an actual crime. If there's a victim, then it's just called crime. (Malum in se)  Hate"" crime is socially engineered programming to control people's behavior, just like gun control.  #ChangeMyMind URL"	0	1	0
228	#CarbonTax works and will put tons more money BACK INTO Canadian pockets.  .@USER  .@USER  .@USER .@USER  Part of why Trudeau won in 2015 was campaigning on a national carbon tax. Conservatives died then. They want another death in 2019...we will oblige. URL	1	0	1
248	#MAGA  ... got any ideas how she could have done it? URL	0	1	0
284	"... Antifa comrades miss the nuance of (a lot don't, but still, people, you know):  It's not that 45 is a white nationalist,"" as that's a very specific community. It's that he uses the same white supremacist rhetoric employed by WNs, which gives him dangerous company with them.."""	0	1	0
288	$25 Amazon/PP-1-WW-Murder and Food Porn: A Northwest Cozy Mystery #8-Dianne Harman-Ends 10/2 URL	0	1	0
321	3,000 is definitely a tad high Puerto Rico. How about you DemocRATS provide proof? Providing names,  locations, and next of kin shouldn’t be that hard.  I hope you don’t mind, but I will not be holding my breath. URL via @USER URL	0	1	0
322	"#Pickett has #individual needs but is part of the #team! . He’s a bit of a #loner within the family of #Bowtruckles, feels a bit #bullied, has #attachment issues. He is also incredibly #agile and of great #value."" . #teachers #parents #Atypical @USER @USER URL"	0	1	0
334	#Cuckservative Traitors Are Worse Than Fortnite Players URL #Conservatives #TriggerWarningRadio	1	0	1
363	6 ANTIFA ATTACKED COPS, ARRESTED AT RALLY IN DENVER, MEDIA BLACKOUT  URL	0	1	0
364	Always down to bond over the dani minogue target pants	0	1	0
365	21st Century Hit:  Don't Cha by  The Pussycat Dolls Feat. Busta Rhymes.  URL	0	1	0
393	#CallTheVoteAlready To the Democrats, this is a game. To the Conservatives, it's a fight for our way of life. End the game. Game over. Sessions, please do your job. We should all be ashamed of what we have allowed to happen. Pray like never before.	0	1	0
408	#Hillary and @ least 16 other #AngryDemocrats #WorldWarQ #WWG1WGA #MAGA #RedTsunami #AmericaFirst #WalkAway #Truth URL	1	0	1
448	#POWER #LESSONS  - There are certain testimonies that comes then rest comes and the strength of the wicked is removed. - When there is major vacuum in your life whether you are aware of it or not, its attracting the mockery.   #SEPTEMBER TO #REMEMBER #DAY2 URL	0	1	0
462	#LifeIsButepu when you have sex anytime you want but you are single	1	0	1
477	"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years."" -AG Jeff Sessions  URL"	0	1	0
501	2/ Did all the Democrats just give in to a vocal minority and become Socialists? I think not. I think most are in shock at what they see are confused by their own Party's Official rhetoric that is at odds with what hey see and experience. The Antifa thugs and the true violence...	0	1	0
511	#Kavanaugh is a disciple of Anthony Kennedy, who 🎁ed liberals w/3 unconstitutional opinions! He's Trump's con to con conservatives to 🤔ing #SCOTUS is moving right! Were @USER smart, they'd do everything to get BK the 🏁. But they won't! Idiots! #TuesdayThoughts URL	1	0	1
544	"*ICYMI* This is the reason Fascists have been desperately trying to find Anti Fascists in Tennessee. *This is what they don't want you to see* Including all League Of The South Members"" organizing groups etc. SHARE WIDELY URL"	0	1	0
561	#MAGA   Dems are using false allegation of Kavanaugh sexual assault as a bargaining chip against the release of classified docs by President Trump.	0	1	0
569	#scottgimple ruined #TheWalkingDead and now he is doing the same to #FearTWD . Hope the checks cash forever because he should never get another job. #AMC	1	0	1
571	#BetoORourke Continues Attack on @USER Pushes for #GunControl @USER URL	0	1	0
577	@USER This is one of my favorite quotes on the internet. He is so confident that he bends maths to his will.  That's hardcore.	0	1	0
599	#Room25 is actually incredible, Noname is the shit, always has been,  and I’m seein her in like 5 days in Melbourne. Life is good. Have a nice day.	0	1	0
633	#ClimatChange ticks conservatives off. It is hard on their belief system. A rain of toadstools or locusts, no problem. This much Actual rain, unbelievable. Good article full of quotes. It's not my words. URL via @USER URL	0	1	0
643	@USER Gun control takes guns out of law abiding citizens that’s it	0	1	0
676	#ChristineBlaseyFord was grinding #Kavanaugh at a party almost 40yrs ago.....You gotta love the age, of this ridiculous #MeToo movement   Just swear #Kavanaugh in already and get this over with, before #liberals have an anxiety attack like 11/8/16 URL	1	0	1
691	#tytlive OMG how can a Latino faith based woman think that Trump is Christian.  Wow, he is the poster child for immorality and hating Latinos	1	0	1
692	#2A. The stuff some of these people say amazes me. They do not get we already have gun control. Take a look at what happens to all the people arrested on gun charges each weekend in Chicago. Most of them are given a slap on the wrist. #NRA URL	0	1	0
740	@USER - WORST POTUS.  EVER!	1	0	1
749	#Antifa, September 22: Stop the fascist NVU in #Amsterdam! URL	1	0	1
773	#Charlotte could see anywhere from 6 to 10” of rainfall from #HurricaneFlorence (#FlorenceNC).   Florence is NOTHING to mess around with, she is a very powerful and life-threatening major hurricane, bringing a lot... URL	0	1	0
774	@USER #Rosie makes me nauseous!🤮 URL	1	0	1
796	#CreepyPornPresident  I WANT THIS TRENDING UNTIL HE IS OUT OF OFFICE URL	0	1	0
799	@USER @USER @USER I'm Mexican by the way and I support the gun control already in place if it means people like you don't ever touch a gun.What you are saying has nothing to do with this.	0	1	0
802	#HIAC: Why is it this match too with Becky vs Charlotte kinda sucky so far? They are taking shots back and forth and stumbling around like a drunk version of Final Fantasy or something.	0	1	0
829	#Chequers is a violation of democracy !!  #StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL	0	1	0
856	#MeetTheSpeakers 🙌 @USER will present in our event OIW 2018: Finpact - Global Impact through Financial Technologies. She is Senior Advisor Group Sustainable Finance and worked on green energy and climate risk. Join us to meet Thina URL #oiw2018 URL	0	1	0
