original	new
Gaymuthafuckinwhore	Gaymuthafuckinwhore.
gaymuthafuckinwhore	gaymuthafuckinwhore.
Goddamnmuthafucker	Goddamnmuthafucker.
goddamnmuthafucker	goddamnmuthafucker.
mattressprincess	mattressprincess.
Mattressprincess	Mattressprincess.
spaghettibender	spaghettibender.
spaghettinigger	spaghettinigger.
Spaghettibender	Spaghettibender.
devilworshipper	devilworshipper.
niggardliness's	niggardliness's.
Spaghettinigger	Spaghettinigger.
Devilworshipper	Devilworshipper.
Niggardliness's	Niggardliness's.
Motherfuckings	Motherfuckings.
Poorwhitetrash	Poorwhitetrash.
spankthemonkey	spankthemonkey.
smackthemonkey	smackthemonkey.
purinapricness	purinapricness.
Motherlovebone	Motherlovebone.
Luckycammeltoe	Luckycammeltoe.
Purinapricness	Purinapricness.
motherfuckings	motherfuckings.
motherlovebone	motherlovebone.
Spankthemonkey	Spankthemonkey.
poorwhitetrash	poorwhitetrash.
Smackthemonkey	Smackthemonkey.
luckycammeltoe	luckycammeltoe.
Alligatorbait	Alligatorbait.
jacktheripper	jacktheripper.
Tongethruster	Tongethruster.
Carpetmuncher	Carpetmuncher.
shitforbrains	shitforbrains.
fingerfucking	fingerfucking.
Motherfucking	Motherfucking.
pooperscooper	pooperscooper.
Masterblaster	Masterblaster.
dickforbrains	dickforbrains.
Jacktheripper	Jacktheripper.
Fingerfuckers	Fingerfuckers.
fingerfuckers	fingerfuckers.
Pooperscooper	Pooperscooper.
Fingerfucking	Fingerfucking.
niggardliness	niggardliness.
carpetmuncher	carpetmuncher.
virginbreaker	virginbreaker.
Shitforbrains	Shitforbrains.
pearlnecklace	pearlnecklace.
Virginbreaker	Virginbreaker.
Assassination	Assassination.
shitoutofluck	shitoutofluck.
Niggardliness	Niggardliness.
assassination	assassination.
tongethruster	tongethruster.
Mothafuckings	Mothafuckings.
mothafuckings	mothafuckings.
Shitoutofluck	Shitoutofluck.
masterblaster	masterblaster.
alligatorbait	alligatorbait.
Dickforbrains	Dickforbrains.
motherfucking	motherfucking.
Pearlnecklace	Pearlnecklace.
Pussypounder	Pussypounder.
Heterosexual	Heterosexual.
transvestite	transvestite.
freakyfucker	freakyfucker.
Conservative	Conservative.
masturbating	masturbating.
Fingerfucked	Fingerfucked.
motherfucker	motherfucker.
Transvestite	Transvestite.
Pornprincess	Pornprincess.
pussypounder	pussypounder.
pornprincess	pornprincess.
Cherrypopper	Cherrypopper.
motherfucked	motherfucked.
Mothafucking	Mothafucking.
grostulation	grostulation.
Goldenshower	Goldenshower.
fingerfucker	fingerfucker.
Fuckingbitch	Fuckingbitch.
Titbitnipply	Titbitnipply.
crotchmonkey	crotchmonkey.
tunneloflove	tunneloflove.
Timbernigger	Timbernigger.
Spermhearder	Spermhearder.
Motherfuckin	Motherfuckin.
crotchjockey	crotchjockey.
Trailertrash	Trailertrash.
Motherfucker	Motherfucker.
Motherfucked	Motherfucked.
williewanker	williewanker.
Fingerfucker	Fingerfucker.
fingerfucked	fingerfucked.
trailertrash	trailertrash.
Tunneloflove	Tunneloflove.
tonguethrust	tonguethrust.
motherfuckin	motherfuckin.
Masturbating	Masturbating.
Crotchmonkey	Crotchmonkey.
butt-fuckers	butt-fuckers.
mothafucking	mothafucking.
goldenshower	goldenshower.
stupidfucker	stupidfucker.
Freakyfucker	Freakyfucker.
Stupidfucker	Stupidfucker.
Lezbefriends	Lezbefriends.
athletesfoot	athletesfoot.
Williewanker	Williewanker.
timbernigger	timbernigger.
spermhearder	spermhearder.
fuckingbitch	fuckingbitch.
Athletesfoot	Athletesfoot.
nofuckingway	nofuckingway.
cherrypopper	cherrypopper.
Crotchjockey	Crotchjockey.
beatyourmeat	beatyourmeat.
titbitnipply	titbitnipply.
heterosexual	heterosexual.
